,T-GA_0.7,T-GA_0.9,T-GA_1.0
0,9630.3,4803.8,168.10000000000036
10,5212.3,3426.8999999999996,1893.7000000000007
101,2612.7999999999993,1723.699999999999,443.0
102,2462.300000000001,1693.5000000000018,949.0
104,9414.9,3215.2999999999993,1332.2999999999993
105,3077.0,3596.7999999999993,879.6999999999971
106,3095.0,1558.0,216.6999999999989
107,1802.8999999999996,1975.6000000000004,402.1999999999989
108,6965.000000000001,4155.0,396.8000000000011
109,3439.5,1729.6000000000004,299.90000000000146
11,3585.1000000000004,1703.2000000000007,1205.800000000001
110,1075.6000000000004,1312.300000000001,537.0
111,3277.5,2933.0,1079.9000000000015
112,3142.7,3299.9,2135.6
114,1840.1000000000004,946.0,370.7999999999993
115,1754.0,2257.0,606.5999999999985
116,2854.0,2538.600000000002,982.5
117,1666.8999999999978,563.1999999999971,477.2999999999993
118,6513.6,9166.1,2611.4000000000015
119,6739.9,2796.0999999999985,472.39999999999964
12,1570.8999999999996,2842.300000000001,859.6000000000004
120,2068.600000000002,1175.9000000000015,429.3000000000029
122,7900.700000000001,4786.300000000001,3890.800000000001
123,1764.199999999999,1351.2999999999993,459.2000000000007
125,1293.9000000000015,1129.4000000000015,737.2000000000007
126,1864.0,1848.8999999999978,1439.5
127,1781.2999999999993,1019.6999999999989,517.8999999999996
128,1775.1000000000022,785.0,503.7999999999993
129,3349.7000000000007,2320.100000000002,982.7000000000007
13,3234.8999999999996,1547.2999999999993,667.2999999999993
130,3490.8999999999996,3074.3999999999996,530.7999999999993
131,2688.7000000000007,1730.4000000000015,884.3000000000029
133,2551.2999999999993,1951.9000000000015,833.5999999999985
134,5685.6,627.8999999999996,645.1000000000004
135,4020.8999999999996,4081.2,2957.2
136,3585.1000000000004,1703.2000000000007,1205.800000000001
138,4371.299999999999,1056.2999999999993,1200.0999999999985
139,1660.800000000001,1020.7000000000007,607.8000000000011
14,1075.6000000000004,1312.300000000001,537.0
140,6948.8,4395.2,5743.6
141,2450.5999999999985,1849.8999999999978,638.0999999999985
142,3186.0,1876.2000000000007,1033.2999999999993
143,1838.5,1192.5,724.5
144,3458.5999999999995,3469.3999999999996,3152.5999999999995
147,5212.3,3426.8999999999996,1893.7000000000007
149,2416.600000000002,2784.5,1093.6000000000022
15,2450.5999999999985,1849.8999999999978,638.0999999999985
150,3234.8999999999996,1547.2999999999993,667.2999999999993
151,2055.300000000003,1934.9000000000015,962.4000000000015
152,8341.300000000001,7686.200000000001,6594.200000000001
153,2500.2000000000007,1612.6000000000022,867.1000000000022
154,2606.600000000002,858.7000000000007,1179.800000000003
16,1788.1000000000004,1563.4000000000015,526.4000000000015
17,2462.300000000001,1693.5000000000018,949.0
18,1893.800000000003,1060.9000000000015,603.5
19,2278.100000000002,1707.300000000001,765.5
20,2055.300000000003,1934.9000000000015,962.4000000000015
21,3186.0,1876.2000000000007,1033.2999999999993
22,2854.0,2538.600000000002,982.5
23,3277.5,2933.0,1079.9000000000015
24,4371.299999999999,1056.2999999999993,1200.0999999999985
25,2606.600000000002,858.7000000000007,1179.800000000003
26,1864.0,1848.8999999999978,1439.5
27,2500.2000000000007,1612.6000000000022,867.1000000000022
28,3554.4000000000015,2057.4000000000015,853.2000000000007
29,2416.600000000002,2784.5,1093.6000000000022
30,9630.3,4803.8,168.10000000000036
38,3796.8,4513.5,1754.1000000000004
39,1789.1000000000004,1467.6000000000004,399.8000000000011
40,1323.7000000000007,540.7000000000007,65.29999999999927
43,1490.0,953.7999999999993,110.20000000000073
44,1692.699999999999,1382.5,576.0
47,3337.5,3018.6000000000004,241.70000000000073
49,1713.2999999999993,1676.699999999999,176.1999999999971
51,2303.199999999999,1750.699999999997,615.0
52,1963.5,583.9000000000015,148.8000000000011
53,6818.199999999999,5512.599999999999,1166.0999999999985
55,1534.7000000000007,13.0,2.2999999999992724
56,2313.100000000002,1548.2000000000007,496.7000000000007
58,1881.4000000000015,1666.7999999999993,51.60000000000218
60,6591.1,5611.6,664.4000000000015
61,2337.5999999999985,859.8999999999978,103.20000000000073
63,5189.1,666.9000000000015,264.0
64,2199.199999999999,1103.9999999999982,197.39999999999782
65,7220.9,4012.5999999999995,1121.6000000000004
68,3682.5999999999985,898.0,583.3999999999996
69,2042.3999999999996,2752.6000000000004,353.90000000000146
7,5827.200000000001,5047.8,3957.2000000000003
70,1929.4,2688.1000000000004,1683.6000000000001
72,2463.3999999999996,1893.7000000000007,422.2000000000007
73,2176.5999999999985,1488.8999999999978,299.5
74,1806.1000000000004,1630.4000000000015,385.10000000000036
75,1782.1000000000022,874.0,61.30000000000291
76,1789.199999999999,1607.4999999999982,296.5
77,2509.9000000000015,2002.7000000000007,876.1000000000022
78,2423.5,1240.6000000000022,368.5
8,8341.300000000001,7686.200000000001,6594.200000000001
80,2070.699999999999,1238.5999999999985,660.7999999999993
81,1301.5,820.3000000000011,531.2000000000007
82,1871.0,1202.6000000000004,155.0
83,10226.199999999999,3636.2999999999993,1542.2999999999993
84,1379.0,793.7000000000007,511.60000000000036
85,2062.199999999999,1755.5,310.1999999999989
86,3305.0999999999985,2333.999999999998,733.0999999999985
87,2201.6000000000004,1355.7000000000007,736.0999999999985
88,2595.699999999999,910.5999999999985,678.5
89,2377.800000000001,2726.2000000000007,700.0
9,6948.8,4395.2,5743.6
94,6920.6,4611.3,2554.6000000000004
96,2456.2000000000007,1511.0999999999985,651.0999999999985
97,1543.0,1414.1000000000004,419.3000000000011
99,2489.800000000001,2377.800000000001,302.7000000000007
